Campeonato,Confronto,Periodo,DataHora,Gols Mandante (média),Gols Sofridos Mandante (média),Gols Visitante (média),Gols Sofridos Visitante (média),Gols Esperados Mandante,Gols Esperados Visitante,Prob Vitória Mandante (%),Prob Empate (%),Prob Vitória Visitante (%),Prob Ambos Marcam (BTTS) (%),Prob +1.5 Gols (%),Prob +2.5 Gols (%),Prob +3.5 Gols (%)
Copa do Brasil,Grêmio x CSA,Últimos 30 dias,2025-05-20 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Viking x Sandefjord,Últimos 30 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Tromsö x Bodo/Glimt,Últimos 30 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Strömsgodset x Bryne,Últimos 30 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Brann x Sarpsborg 08,Últimos 30 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Rosenborg x Haugesund,Últimos 30 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Fredrikstad x KFUM Oslo,Últimos 30 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Molde x Kristiansund,Últimos 30 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Vålerenga x HamKam,Últimos 30 dias,2025-05-16 15:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaLiga,Valladolid x Girona,Últimos 30 dias,2025-05-13 14:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaLiga,Real Sociedad x Celta de Vigo,Últimos 30 dias,2025-05-13 15:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaLiga,Sevilla x Las Palmas,Últimos 30 dias,2025-05-13 16:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libertadores,Dep. Tachira (Ven) x Central Córdoba (Arg),Últimos 30 dias,2025-05-13 19:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libertadores,Universidad de Chile (Chi) x Carabobo (Ven),Últimos 30 dias,2025-05-13 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libertadores,Sporting Cristal (Per) x Cerro Porteno (Par),Últimos 30 dias,2025-05-13 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libertadores,Fortaleza (Bra) x Bucaramanga (Col),Últimos 30 dias,2025-05-13 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liga Europa,Tottenham x Manchester Utd,Últimos 30 dias,2025-05-21 16:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liga Portugal,Famalicão x Casa Pia,Últimos 30 dias,2025-05-16 15:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liga Portugal,Rio Ave x Gil Vicente,Últimos 30 dias,2025-05-16 15:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liga Saudita,Al-Hilal x Al-Orubah,Últimos 30 dias,2025-05-12 13:05:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liga Saudita,Al Okhdood x Al Nassr Riyadh,Últimos 30 dias,2025-05-12 15:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ligue 1,Dunkerque x Guingamp,Últimos 30 dias,2025-05-14 15:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Premier League,Aston Villa x Tottenham,Últimos 30 dias,2025-05-16 15:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Premier League,Chelsea x Manchester Utd,Últimos 30 dias,2025-05-16 16:15:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,Venezia x Fiorentina,Últimos 30 dias,2025-05-12 13:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,Atalanta x AS Roma,Últimos 30 dias,2025-05-12 15:45:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sul-Americana,Grêmio (Bra) x Godoy Cruz (Arg),Últimos 30 dias,2025-05-13 19:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sul-Americana,Nacional Potosí (Bol) x Boston River (Uru),Últimos 30 dias,2025-05-13 19:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sul-Americana,Union Santa Fe (Arg) x Mushuc Runa (Ecu),Últimos 30 dias,2025-05-13 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sul-Americana,Puerto Cabello (Ven) x Melgar (Per),Últimos 30 dias,2025-05-13 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sul-Americana,Lanús (Arg) x Vasco (Bra),Últimos 30 dias,2025-05-13 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Super Lig,Kayserispor x Antalyaspor,Últimos 30 dias,2025-05-12 14:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Superliga,Vejle x Lyngby,Últimos 30 dias,2025-05-12 14:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UEFA,PSG x Inter,Últimos 30 dias,2025-05-31 16:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Magdeburg x Dusseldorf,Últimos 45 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Ulm x Munster,Últimos 45 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Furth x Hamburger SV,Últimos 45 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Hertha x Hannover,Últimos 45 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Karlsruher x Paderborn,Últimos 45 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Braunschweig x Nurnberg,Últimos 45 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Schalke x Elversberg,Últimos 45 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Darmstadt x Regensburg,Últimos 45 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Bundesliga,Köln x Kaiserslautern,Últimos 45 dias,2025-05-18 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allsvenskan,Göteborg x Djurgarden,Últimos 45 dias,2025-05-12 14:10:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brasileirão A,Santos x Ceará,Últimos 45 dias,2025-05-12 20:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brasileirão B,Botafogo-SP x Athletic Club,Últimos 45 dias,2025-05-12 19:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brasileirão B,Amazonas x CRB,Últimos 45 dias,2025-05-12 21:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Monchengladbach x Wolfsburg,Últimos 45 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Augsburg x Union Berlin,Últimos 45 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Heidenheim x Bremen,Últimos 45 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,St. Pauli x Bochum,Últimos 45 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Mainz x Leverkusen,Últimos 45 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Hoffenheim x Bayern,Últimos 45 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Freiburg x Frankfurt,Últimos 45 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,Dortmund x Kiel,Últimos 45 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bundesliga,RB Leipzig x Stuttgart,Últimos 45 dias,2025-05-17 10:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Championship,Sheffield Utd x Bristol City,Últimos 45 dias,2025-05-12 16:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa da Alemanha,Bielefeld x Stuttgart,Últimos 45 dias,2025-05-24 15:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa do Brasil,Vasco x Operário,Últimos 45 dias,2025-05-20 19:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa do Brasil,Athletico-PR x Brusque,Últimos 45 dias,2025-05-20 19:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa do Brasil,Náutico x São Paulo,Últimos 45 dias,2025-05-20 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copa do Brasil,Grêmio x CSA,Últimos 45 dias,2025-05-20 21:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Viking x Sandefjord,Últimos 45 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Tromsö x Bodo/Glimt,Últimos 45 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Strömsgodset x Bryne,Últimos 45 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Brann x Sarpsborg 08,Últimos 45 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Rosenborg x Haugesund,Últimos 45 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Fredrikstad x KFUM Oslo,Últimos 45 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Molde x Kristiansund,Últimos 45 dias,2025-05-16 13:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliteserien,Vålerenga x HamKam,Últimos 45 dias,2025-05-16 15:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaLiga,Valladolid x Girona,Últimos 45 dias,2025-05-13 14:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaLiga,Real Sociedad x Celta de Vigo,Últimos 45 dias,2025-05-13 15:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaLiga,Sevilla x Las Palmas,Últimos 45 dias,2025-05-13 16:30:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Libertadores,Dep. Tachira (Ven) x Central Córdoba (Arg),Últimos 45 dias,2025-05-13 19:00:00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
